Customer ID,Age,Under 30,Senior Citizen,Number of Dependents,Country,State,City,Zip Code,Latitude,Longitude,Population,Quarter,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Satisfaction Score,Customer Status,Churn Label,Churn Score,CLTV,Gender_Male,Married_Yes,Dependents_Yes,Churn Category_Competitor,Churn Category_Dissatisfaction,Churn Category_Other,Churn Category_Price,Churn Reason_Attitude of support person,Churn Reason_Competitor had better devices,Churn Reason_Competitor made better offer,Churn Reason_Competitor offered higher download speeds,Churn Reason_Competitor offered more data,Churn Reason_Deceased,Churn Reason_Don't know,Churn Reason_Extra data charges,Churn Reason_Lack of affordable download/upload speed,Churn Reason_Lack of self-service on Website,Churn Reason_Limited range of services,Churn Reason_Long distance charges,Churn Reason_Moved,Churn Reason_Network reliability,Churn Reason_Poor expertise of online support,Churn Reason_Poor expertise of phone support,Churn Reason_Price too high,Churn Reason_Product dissatisfaction,Churn Reason_Service dissatisfaction
8779-QRDMV,78,No,Yes,0,United States,California,Los Angeles,90022,34.02381,-118.156582,68701,Q3,No,0,1,None,No,0.0,No,Yes,DSL,8,No,No,Yes,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,39.65,39.65,0.0,0.5234109396773273,-0.884832635609114,-1.0382994367653398,-0.20383637151789624,Churned,Yes,91,0.8729735209188058,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7495-OOKFY,74,No,Yes,1,United States,California,Los Angeles,90063,34.044271,-118.185237,55668,Q3,Yes,1,8,Offer E,Yes,48.85,Yes,Yes,Fiber Optic,17,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,80.65,633.3,0.0,-0.27330037394865414,-0.4232214557751661,-0.7016678064540548,-0.20383637151789624,Churned,Yes,69,0.7622355901363036,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1658-BYGOY,71,No,Yes,3,United States,California,Los Angeles,90065,34.108833,-118.229715,47534,Q3,No,0,18,Offer D,Yes,11.33,Yes,Yes,Fiber Optic,52,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.45,1752.55,45.61,-0.27330037394865414,-0.6439396365934146,-0.39214611312890435,-1.0360795973732833,Churned,Yes,81,-1.032395150712948,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4598-XLKNJ,78,No,Yes,1,United States,California,Inglewood,90303,33.936291,-118.332639,27778,Q3,Yes,1,25,Offer C,Yes,19.76,No,Yes,Fiber Optic,12,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,98.5,2514.5,13.43,-0.27330037394865414,-0.30132208587019316,-0.013720432930664847,-1.0360795973732833,Churned,Yes,88,0.7918220601926973,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4846-WHAFZ,80,No,Yes,1,United States,California,Whittier,90602,33.972119,-118.020188,26265,Q3,Yes,1,37,Offer C,Yes,6.33,Yes,Yes,Fiber Optic,14,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,76.5,2868.15,0.0,-0.27330037394865414,-0.6081848504788454,0.023728068926453464,-1.0360795973732833,Churned,Yes,67,-1.3586916490491758,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4412-YLTKF,72,No,Yes,1,United States,California,Pico Rivera,90660,33.989524,-118.089299,63288,Q3,No,0,27,Offer C,Yes,3.33,Yes,Yes,Fiber Optic,18,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,78.05,2135.5,0.0,0.1250552828643366,-0.7786313531657407,-0.27887216115117486,-1.8683228232286704,Churned,Yes,95,0.20093798678072042,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0390-DCFDQ,76,No,Yes,2,United States,California,Los Alamitos,90720,33.79499,-118.065591,21343,Q3,Yes,1,1,Offer E,Yes,15.28,No,Yes,Fiber Optic,30,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,70.45,70.45,0.0,-0.27330037394865414,-0.8667839692123311,-1.0291964735028396,-1.0360795973732833,Churned,Yes,76,-0.3688128937338324,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3445-HXXGF,66,No,Yes,0,United States,California,Sierra Madre,91024,34.168686,-118.057505,10558,Q3,Yes,6,58,Offer B,No,0.0,No,Yes,DSL,24,No,Yes,Yes,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,45.3,2651.2,40.95,-0.27330037394865414,-0.884832635609114,-0.14803800665287828,-1.8683228232286704,Churned,Yes,91,0.8822721257936723,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2656-FMOKZ,70,No,Yes,2,United States,California,Pasadena,91106,34.139402,-118.128658,23742,Q3,No,0,15,Offer D,Yes,44.07,Yes,Yes,Fiber Optic,19,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,74.45,1145.7,0.0,-0.27330037394865414,-0.10400338681374245,-0.42849164857844985,-1.0360795973732833,Churned,Yes,91,1.113046592233543,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2070-FNEXE,77,No,Yes,2,United States,California,Pasadena,91107,34.159007,-118.087353,32369,Q3,No,0,7,Offer E,Yes,26.95,No,Yes,Fiber Optic,18,Yes,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,76.45,503.6,11.05,-0.27330037394865414,-0.6620001149446455,-0.8213536232758079,-1.0360795973732833,Churned,Yes,81,0.015811216999285598,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0094-OIFMO,78,No,Yes,1,United States,California,North Hollywood,91605,34.207295,-118.400022,57146,Q3,No,0,11,Offer D,Yes,11.59,No,Yes,Fiber Optic,29,No,Yes,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,95.0,1120.3,0.0,4.506967507807235,-0.7342420283495694,-0.5817062480304087,-1.8683228232286704,Churned,Yes,85,1.3353677815144445,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9947-OTFQU,65,No,Yes,0,United States,California,Covina,91722,34.097345,-117.906736,33817,Q3,No,0,15,Offer D,Yes,29.11,No,Yes,Fiber Optic,29,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.4,1074.3,0.0,-0.27330037394865414,-0.36906364463036956,-0.5317376812873287,-1.8683228232286704,Churned,Yes,86,0.18234077703098725,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9514-JDSKI,77,No,Yes,0,United States,California,El Monte,91732,34.074492,-118.01462,62660,Q3,Yes,1,1,Offer E,No,0.0,No,Yes,DSL,12,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,40.2,40.2,0.0,-0.27330037394865414,-0.884832635609114,-1.0450882648119515,-1.0360795973732833,Churned,Yes,65,1.206877968698106,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7273-TEFQD,67,No,Yes,0,United States,California,La Puente,91746,34.038983,-117.991372,30802,Q3,No,0,3,Offer E,No,0.0,No,Yes,DSL,28,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,41.15,132.2,0.0,-0.27330037394865414,-0.884832635609114,-1.0129765845914753,-1.0360795973732833,Churned,Yes,96,-1.763603624963821,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3606-TWKGI,68,No,Yes,0,United States,California,Rowland Heights,91748,33.976753,-117.897367,46342,Q3,No,0,13,Offer D,Yes,32.68,Yes,Yes,Cable,11,No,Yes,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,106.9,1364.3,0.0,0.1250552828643366,-0.38301356283364213,-0.431147842996687,-1.8683228232286704,Churned,Yes,84,-1.6114446361023675,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4385-GZQXV,68,No,Yes,0,United States,California,Ontario,91764,34.074087,-117.605618,49474,Q3,No,0,16,Offer D,Yes,9.43,No,Yes,Fiber Optic,9,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.45,1511.2,0.0,-0.27330037394865414,-0.7066138668953318,-0.4789872657251486,-1.8683228232286704,Churned,Yes,81,-0.4989933619819647,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3488-PGMQJ,66,No,Yes,0,United States,California,Alpine,91901,32.827184,-116.703729,16486,Q3,No,0,8,None,Yes,1.78,No,Yes,Fiber Optic,7,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.5,606.55,0.0,-0.27330037394865414,-0.8680124124749393,-0.8424391298205791,-1.0360795973732833,Churned,Yes,80,-0.04674303397708964,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7534-BFESC,69,No,Yes,0,United States,California,San Diego,92122,32.85723,-117.209774,34902,Q3,No,0,24,Offer C,Yes,30.87,Yes,Yes,Fiber Optic,15,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,76.1,1712.7,0.0,-0.27330037394865414,-0.009708554454110736,-0.2027221038283348,-1.0360795973732833,Churned,Yes,91,-2.013820628869322,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8098-LLAZX,74,No,Yes,0,United States,California,San Diego,92122,32.85723,-117.209774,34902,Q3,No,0,4,Offer E,Yes,31.61,Yes,Yes,Fiber Optic,2,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.45,396.1,0.0,-0.27330037394865414,-0.7354822835666259,-0.8767323100560332,-0.20383637151789624,Churned,Yes,85,-0.6114219481962607,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0265-EDXBD,76,No,Yes,0,United States,California,San Diego,92122,32.85723,-117.209774,34902,Q3,Yes,2,32,Offer C,Yes,47.34,Yes,Yes,Fiber Optic,10,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.9,2303.35,0.0,-0.27330037394865414,0.9045367198331863,0.27359533544202147,-1.0360795973732833,Churned,Yes,69,-0.2496216857923607,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2840-XANRC,77,No,Yes,0,United States,California,San Diego,92122,32.85723,-117.209774,34902,Q3,Yes,1,24,Offer C,Yes,16.1,No,Yes,Cable,12,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,93.15,2231.05,0.0,-0.27330037394865414,-0.4284187157323549,-0.14552491863562353,-1.0360795973732833,Churned,Yes,73,-1.849827051985311,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5020-ZSTTY,70,No,Yes,0,United States,California,San Diego,92122,32.85723,-117.209774,34902,Q3,No,0,54,Offer B,Yes,12.08,Yes,Yes,DSL,5,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,82.45,4350.1,0.0,-0.27330037394865414,-0.11431522304698277,0.686925015879909,-1.8683228232286704,Churned,Yes,83,-0.21242726629289432,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5804-LEPIM,74,No,Yes,0,United States,California,San Diego,92122,32.85723,-117.209774,34902,Q3,No,0,2,Offer E,Yes,13.17,No,Yes,Fiber Optic,10,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,70.35,139.05,0.0,-0.27330037394865414,-0.8537199475926702,-1.0013919469119361,-0.20383637151789624,Churned,Yes,73,-1.4618216303886051,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0623-IIHUG,77,No,Yes,0,United States,California,San Diego,92122,32.85723,-117.209774,34902,Q3,No,0,21,None,No,0.0,No,Yes,Cable,8,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,41.9,840.1,0.0,-0.27330037394865414,-0.884832635609114,-0.7658911668950071,-1.8683228232286704,Churned,Yes,90,0.3192838670062952,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9057-MSWCO,71,No,Yes,0,United States,California,San Diego,92122,32.85723,-117.209774,34902,Q3,No,0,27,None,No,0.0,No,Yes,Cable,13,Yes,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,30.75,805.1,0.0,5.303678821433216,-0.884832635609114,-0.7292419666433767,-1.8683228232286704,Churned,Yes,91,-1.2454177351189828,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4895-TMWIR,79,No,Yes,0,United States,California,San Diego,92122,32.85723,-117.209774,34902,Q3,Yes,1,11,None,Yes,29.54,No,No,None,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed Check,19.95,214.75,0.0,-0.27330037394865414,-0.5010149877707235,-0.8707462740149337,-1.8683228232286704,Churned,Yes,80,1.2575976316519237,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0533-BNWKF,66,No,Yes,0,United States,California,San Diego,92122,32.85723,-117.209774,34902,Q3,Yes,2,55,Offer B,Yes,42.82,Yes,Yes,Fiber Optic,27,No,Yes,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,85.45,4874.7,0.0,3.3119005373682624,1.897000756476174,1.4957833366334632,-1.8683228232286704,Churned,Yes,91,0.9313011333156962,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0334-GDDSO,77,No,Yes,0,United States,California,San Diego,92122,32.85723,-117.209774,34902,Q3,No,0,3,Offer E,Yes,9.22,Yes,Yes,Fiber Optic,14,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,81.35,233.7,0.0,-0.27330037394865414,-0.8521607696055137,-0.9678945778819458,-1.8683228232286704,Churned,Yes,73,-1.3375584561517517,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5564-NEMQO,80,No,Yes,0,United States,California,Thermal,92274,33.53604,-116.119222,17018,Q3,No,0,1,Offer E,Yes,35.09,No,Yes,Fiber Optic,17,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,75.3,75.3,0.0,0.5234109396773273,-0.8433844874505335,-1.0136083469958128,-1.0360795973732833,Churned,Yes,67,0.42410450377751857,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6235-VDHOM,77,No,Yes,0,United States,California,Riverside,92509,34.004379,-117.447864,63999,Q3,No,0,5,Offer E,No,0.0,No,Yes,DSL,26,No,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,28.45,131.05,0.0,-0.27330037394865414,-0.884832635609114,-1.0133779805942311,-1.0360795973732833,Churned,Yes,89,-0.2546936520877425,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5609-CEBID,77,No,Yes,0,United States,California,Hemet,92544,33.644585,-116.871544,39264,Q3,No,0,20,None,Yes,48.73,Yes,Yes,Fiber Optic,12,No,Yes,Yes,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,94.1,1782.4,0.0,2.9135448805552717,0.2663604449081981,-0.06889318610947648,-1.8683228232286704,Churned,Yes,87,-1.46604826896809,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
